BJDONG_NM,CENTER_LONG,CENTER_LATI
당산동1가,126.8985127612387,37.52168456030789
당산동2가,126.893705744736,37.52248372355299
당산동3가,126.89711351458064,37.52586213949938
당산동4가,126.89913605068972,37.52903856574709
당산동5가,126.90120008850568,37.532087215691064
당산동6가,126.90288026026408,37.5346606208331
당산동,126.9040115706976,37.53642450483842
도림동,126.90054204843766,37.50910124208346
문래동1가,126.8970601169093,37.51228289803374
문래동2가,126.89309465512348,37.5127780462451
문래동3가,126.89571530396154,37.5172701913735
문래동4가,126.8898729907114,37.51446764686954
문래동5가,126.88385584048704,37.516682920081536
문래동6가,126.88465425785596,37.51989725675836
양평동1가,126.88869864627355,37.523190208593505
양평동2가,126.88375778087908,37.5234270604656
양평동3가,126.89104772041624,37.52903606607547
양평동4가,126.89615163446744,37.5363178277667
양평동5가,126.89264505361884,37.539366659570625
양평동6가,126.8895728212249,37.542637630235106
양화동,126.88912100489776,37.54796943614185
신길동,126.91361404352892,37.506064430223205
대림동,126.900128911302,37.49542734758569
양평동,126.88694213964824,37.532887014509114
,126.9516414543837,37.49887687607187
노량진동,126.94188374828862,37.511569947642336
상도동,126.9440804462442,37.49870787980003
상도1동,126.95064170454968,37.50327443968304
본동,126.95365895145984,37.5124477714215
흑석동,126.96233704706508,37.50549290376016
동작동,126.97387524335258,37.49921742348401
사당동,126.97231151798462,37.485622527920334
대방동,126.92800815596662,37.5068788212364
신대방동,126.9171909623841,37.49267402527196
,126.94533715305032,37.46737569058797
봉천동,126.9534874765543,37.47797496610814
신림동,126.93580773340328,37.46319952201074
남현동,126.97776851593538,37.46411143344172
,127.03122031111438,37.47329546734596
방배동,126.99311799562292,37.47949267195766
양재동,127.03742173850948,37.47196936465512
우면동,127.01794436004808,37.46593428048647
원지동,127.04862966597167,37.443320687492225
잠원동,127.00909158692494,37.51510276517586
반포동,127.00076347605462,37.50396464822147
서초동,127.01680535750032,37.48837476066834
내곡동,127.0767406910146,37.458149770465056
염곡동,127.0536509816786,37.46367010994744
신원동,127.06217060245564,37.4440741995561
,127.06298520424792,37.496643894287786
역삼동,127.0385490769512,37.50007839967135
개포동,127.06259188505676,37.48027638208536
청담동,127.0504717775772,37.52439589934928
삼성동,127.0561216060426,37.5139689371812
대치동,127.06334667950938,37.49918983082211
신사동,127.0265021417178,37.52380657423338
논현동,127.031712478427,37.51367912993379
압구정동,127.02847878449757,37.530736240237125
세곡동,127.10459678585212,37.46436944623918
